MCDPRCT, PrecinctName                        , WD, CG, LEG, CM, SW, SchoolDistrict, S1, S2, C, V, McdName                                    , JD, MCD  , PRCT, CC, FIPS , 7AM , EDR , Sigs, RegMilAb, FedAb, PresAb, TotVoters, VSCode, VSDescription     , EquipmentModel    , USPresGP, USPresR, USPresDFL, USPresSE, USPresSW, USPresCF, USPresBL, USPresC, USPresL, USPresWI, USCongGr, USCongI, USCongR, USCongDFL, USCongWI, MNLegGr, MNLegI, MnLegR, MnLegDFL, MnLegWI, AJSC2HelenMeyer, AJSC2WI, AJSC5SamHanson, AJSC5WI, AJSC6AlanPage, AJSC6SamTinglestad, AJSC6WI, JCOA2NatalieHudson, JCOA2WI, JCOA3DavidMinge, JCOA3PaulRoss, JCOA3WI, JCOA14DanielGriffith, JCOA14RARandall, JCOA14WI, , 
0040005, AITKIN                              ,   , 08, 03B, 01, 00,           0001, 00, 00, N, O, Aitkin city                                , 09,   004, 0005, 01,   460, 1126,  230,  916,      134,     0,      0,      1050,      2, Precinct Tabulator, Model 100         ,        1,     541,       475,        1,        1,        1,       16,       0,       2,        1,       21,       0,     374,       592,        0,       0,      0,    523,      484,       1,             724,       3,            712,       5,           585,                310,       0,                695,       5,             538,           284,       2,                  320,             475,        3, , 
0050010, AITKIN TWP                          ,   , 08, 03B, 01, 00,           0001, 00, 00, N, O, Aitkin township                            , 09,   005, 0010, 01,   478,  549,   89,  467,       54,     0,      0,       521,      2, Precinct Tabulator, Model 100         ,        0,     325,       190,        0,        0,        0,        1,       0,       2,        0,        4,       0,     241,       259,        0,       0,      0,    302,      208,       0,             346,       0,            340,       1,           326,                121,       0,                342,       0,             257,           146,       0,                  120,             266,        0, , 
0150015, BALL BLUFF TWP                      ,   , 08, 03B, 05, 00,           0002, 00, 00, N, O, Ball Bluff township                        , 09,   015, 0015, 01,  3358,  207,   37,  185,        9,     0,      0,       194,      3, Hand Count        , Not Applicable    ,        1,      84,       109,        0,        0,        0,        0,       0,       0,        0,        2,       0,      60,       122,        0,       0,      0,     70,      119,       0,             137,       0,            135,       0,           105,                 56,       0,                132,       0,              72,            75,       0,                   68,              81,        0, , 
0200020, BALSAM TWP                          ,   , 08, 03B, 05, 00,           0004, 00, 00, N, O, Balsam township                            , 09,   020, 0020, 01,  3412,   25,    6,   26,        4,     0,      0,        30,      3, Hand Count        , Not Applicable    ,        0,      12,        18,        0,        0,        0,        0,       0,       0,        0,        0,       0,       7,        22,        0,       0,      0,      7,       21,       0,              13,       0,             13,       0,            18,                  5,       0,                 12,       0,              13,             5,       0,                    4,              13,        0, , 
0250025, BEAVER TWP                          ,   , 08, 03B, 03, 00,           0004, 00, 00, N, O, Beaver township                            , 09,   025, 0025, 01,  4384,   45,    1,   39,        2,     0,      0,        41,      3, Hand Count        , Not Applicable    ,        0,      10,        31,        0,        0,        0,        0,       0,       0,        0,        1,       0,       6,        33,        0,       0,      0,      9,       30,       0,              34,       0,             34,       0,            19,                 14,       0,                 34,       0,              18,            15,       0,                   15,              18,        0, , 
0300030, CLARK TWP                           ,   , 08, 03B, 04, 00,           0004, 00, 00, N, O, Clark township                             , 09,   030, 0030, 01, 11620,  106,   15,   96,        6,     0,      0,       102,      3, Hand Count        , Not Applicable    ,        0,      47,        53,        0,        0,        0,        1,       0,       0,        0,        0,       0,      31,        68,        0,       0,      0,     41,       60,       0,              71,       0,             68,       0,            48,                 36,       0,                 68,       0,              40,            35,       0,                   40,              33,        0, , 
0350035, CORNISH TWP                         ,   , 08, 03B, 05, 00,           0002, 00, 00, N, O, Cornish township                           , 09,   035, 0035, 01, 13330,   26,    2,   23,        0,     0,      0,        23,      3, Hand Count        , Not Applicable    ,        0,       9,        13,        0,        0,        0,        1,       0,       0,        0,        0,       0,       5,        17,        0,       0,      0,     11,       11,       0,               9,       0,              9,       0,             8,                  8,       0,                  9,       0,               4,            10,       0,                    9,               6,        0, , 
0380038, UNORG 47-24 (DAVIDSON UNORG)        ,   , 08, 03B, 03, 00,           0001, 00, 00, N, O, Davidson Unorganized                       , 09,   038, 0038, 01, 14903,   20,    5,   23,        2,     0,      0,        25,      3, Hand Count        , Not Applicable    ,        0,       9,        15,        0,        0,        0,        1,       0,       0,        0,        3,       0,       1,        19,        0,       0,      0,      8,       16,       0,              20,       0,             20,       0,            17,                  5,       0,                 20,       0,              15,             6,       0,                    8,              13,        0, , 
0400040, FARM ISLAND TWP                     ,   , 08, 03B, 02, 00,           0001, 00, 00, N, O, Farm Island township                       , 09,   040, 0040, 01, 20654,  766,   74,  647,       99,     0,      0,       746,      2, Precinct Tabulator, Model 100         ,        0,     388,       343,        0,        0,        2,        4,       2,       2,        0,        5,       0,     291,       415,        1,       0,      0,    369,      361,       0,             491,       3,            485,       4,           460,                156,       2,                489,       4,             339,           224,       2,                  219,             333,        2, , 
0450045, FLEMING TWP                         ,   , 08, 03B, 04, 00,           0001, 00, 00, N, O, Fleming township                           , 09,   045, 0045, 01, 21230,  228,   36,  197,       25,     0,      0,       222,      3, Hand Count        , Not Applicable    ,        1,     131,        88,        1,        0,        0,        0,       0,       0,        0,        4,       0,      94,       112,        0,       0,      0,    116,       97,       0,             139,       0,            131,       0,           123,                 56,       0,                127,       0,             109,            49,       0,                   68,              86,        0, , 
