Precinct and Voting District Information,,,,,,,,,,,,,,,,,,1 (County Statistics),,,,,,Voting System Information,,,US Senate,,,,,,,US Congressional Districts 1 - 8,,,,,,MN State Senate Districts 1 - 67,,,,,,,MN State House Districts 1A - 67B,,,,,,,Governor and Lieutenant Governor,,,,,,,,Secretary of State,,,,,Attorney General,,,,State Auditor,,,,,ASSOCIATE JUSTICE-SUPREME CT 3,,,APPEALS 1,,APPEALS 5,,APPEALS 8,,APPEALS 9,,APPEALS 10,,APPEALS 15,,APPEALS 16,,,1ST DISTRICT COURT 1,,,1ST DISTRICT COURT 5,,,1ST DISTRICT COURT 28,,,1ST DISTRICT COURT 31,,,2ND DISTRICT COURT 21,,,4TH DISTRICT COURT 12,,,4TH DISTRICT COURT 46,,,4TH DISTRICT COURT 47,,,4TH DISTRICT COURT 53,,,4TH DISTRICT COURT 56,,,4TH DISTRICT COURT 58,,,4TH DISTRICT COURT 60,,,7TH DISTRICT COURT 17,,,9TH DISTRICT COURT 4,,,9TH DISTRICT COURT 12,,,10TH DISTRICT COURT 14,,
MCDPRCT,PRECINCT NAME,WD,CG,LEG,CM,SW,S DST,S1,S2,C,V,MCD NAME,JD,MCD,PRCT,CC,FIPS,0001,0002,0003,0004,0005,0006,VS_Code,VS_Description,Equipment_Model,0101,0201,0301,0401,0402,0501,99xx(total),0101,0201,0301,0401,0801,9901,0101,0201,0301,0401,0501,0701,9901,0101,0201,0301,0401,0501,0601,9901,0101,0201,0301,0401,0501,0601,0901,9901 - 9905,0101,0201,0301,0401,9901,0201,0301,0401,9901,0101,0201,0301,0401,9901,9001,9002,9901,9001,9901,9001,9901,9001,9901,9001,9901,9001,9901,9001,9901,9001,9002,9901,9001,9002,9901,9001,9002,9901,9001,9002,9901,9001,9002,9901,9001,9002,9901,9001,9002,9901,9001,9002,9901,9001,9002,9901,9001,9002,9901,9001,9002,9901,9001,9002,9901,9001,9002,9901,9001,9002,9901,9001,9002,9901,9001,9002,9901,9001,9002,9901
MCDPRCT,PRECINCT NAME,WD,CG,LEG,CM,SW,S DST,S1,S2,C,V,MCD NAME,JD,MCD,PRCT,CC,FIPS,7am,EDR,Signatures,AB-reg,AB-fed,Ballots,VS_Code,VS_Description,Equipment_Model,USSenGP,USSenIP,USSenR,Wellstone,USSenDFL,USSenCP,USSenWI,CongGP,CongIP,CongR,CongDFL,CongNNT,CongWI,MNSenGP,MNSenIP,MNSenR,MNSenDFL,MNSenCP,MNSenICP,MNSenWI,MNlegGP,MNlegIP,MNlegR,MNlegDFL,MNlegCP,MNlegI,MNlegWI,GovGP,GovIP,GovR,GovDFL,GovCP,GovI,GovSW,GovWI,SOSGP,SOSIP,SOSR,SOSDFL,SOSWI,AGIP,AGR,AGDFL,AGWI,AudGP,AudIP,AudR,AudDFL,AudWI,PAUL H. ANDERSON,JACK BAKER,WRITE-IN (TOTAL),"EDWARD TOUSSAINT, JR.",WRITE-IN (TOTAL),BRUCE D. WILLIS,WRITE-IN (TOTAL),THOMAS KALITOWSKI,WRITE-IN (TOTAL),ROGER M. KLAPHAKE,WRITE-IN (TOTAL),HARRIET LANSING,WRITE-IN (TOTAL),ROBERT H. SCHUMACHER,WRITE-IN (TOTAL),JEFFREY A. SLOAN,TERRI JEAN STONEBURNER,WRITE-IN (TOTAL),CAROL HOOTEN,"CHARLES ""CHUCK"" HALBERG",WRITE-IN (TOTAL),KEVIN W. EIDE,DAVID H. GROUNDS,WRITE-IN (TOTAL),KAREN ASPHAUG,KEVIN QUIGLEY,WRITE-IN (TOTAL),"JUDITH ""JUDI"" PAYNE",MARY J. THEISEN,WRITE-IN (TOTAL),JOHN T. FINLEY,KATHLEEN FIXSEN HUPALO,WRITE-IN (TOTAL),HARRY SEYMOUR CRUMP,KEVIN J. KOLOSKY,WRITE-IN (TOTAL),JUDD EDWARD GUSHWA,STEPHEN C. ALDRICH,WRITE-IN (TOTAL),TANYA M. BRANSFORD,JOSEPH (PAT) MCCORMICK,WRITE-IN (TOTAL),THOMAS W. WEXLER,JILL CLARK,WRITE-IN (TOTAL),HERBERT P. LEFLER,LIZ PIERCE,WRITE-IN (TOTAL),ROBERT D. SCHWARTZ,JAMES T. SWENSON,WRITE-IN (TOTAL),JULIE DELGADO O'NEIL,LLOYD ZIMMERMAN,WRITE-IN (TOTAL),THOMAS M. STRINGER,JOHN A. HATLING,WRITE-IN (TOTAL),DAVID F. HARRINGTON,TED N. LUNDRIGAN,WRITE-IN (TOTAL),LOIS J. LANG,DAVID G. KUDUK,WRITE-IN (TOTAL),LUKE ROBERT STELLPFLUG,NANCY J. LOGERING,WRITE-IN (TOTAL)
270010005,AITKIN,,08,03B,01,00,001,00,00,N,O,Aitkin city,09,004,0005,01,270010005,1087,164,840,82,0,922,2,Precinct Tabulator,Model 100,3,33,401,10,463,1,1,0,0,309,566,0,0,0,0,536,343,0,0,1,0,0,434,439,0,0,0,17,147,367,353,4,2,1,1,16,45,406,396,0,51,339,469,0,18,70,344,401,0,531,186,1,635,2,624,2,627,2,621,2,621,1,617,1,283,393,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,336,3,479,202,3,0,0,0
270010010,AITKIN TWP.,,08,03B,01,00,001,00,00,N,O,Aitkin township,09,005,0010,01,270010010,568,64,449,35,0,484,2,Precinct Tabulator,Model 100,1,13,281,8,180,0,1,0,0,201,264,0,0,0,0,324,144,0,0,0,0,0,268,196,0,0,0,3,80,247,146,1,2,0,0,5,25,268,168,1,19,229,216,0,5,37,229,180,0,277,115,0,341,0,340,0,337,0,335,1,338,0,336,0,122,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,188,189,0,246,135,1,0,0,0
270010015,BALL BLUFF TWP.,,08,03B,05,00,002,00,00,N,O,Ball Bluff township,09,015,0015,01,270010015,196,18,161,0,0,161,3,Hand Count,Not Applicable,1,5,58,0,97,0,0,0,0,48,110,0,0,0,0,63,91,0,0,0,0,0,76,83,0,0,0,4,23,53,77,0,1,0,0,1,10,60,83,0,9,49,98,0,3,16,54,79,0,83,46,0,119,0,121,0,117,0,117,0,117,0,120,0,60,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,50,0,81,48,0,0,0,0
270010020,BALSAM TWP.,,08,03B,05,00,004,00,00,N,O,Balsam township,09,020,0020,01,270010020,23,4,18,2,0,20,3,Hand Count,Not Applicable,0,0,4,0,16,0,0,0,0,4,16,0,0,0,0,5,14,0,0,0,0,0,5,14,0,0,0,0,4,4,12,0,0,0,0,0,0,4,16,0,0,5,14,0,0,1,2,15,0,3,4,0,9,0,9,0,9,0,9,0,9,0,9,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,4,6,0,0,0,0
270010025,BEAVER TWP.,,08,03B,03,00,004,00,00,N,O,Beaver township,09,025,0025,01,270010025,39,3,35,0,0,35,3,Hand Count,Not Applicable,0,2,7,0,26,0,0,0,0,4,30,0,0,0,0,8,24,0,0,0,0,0,9,25,0,0,0,0,5,7,23,0,0,0,0,2,4,8,20,0,4,5,24,0,2,1,8,22,0,23,6,0,28,0,28,0,28,0,28,0,28,0,28,0,11,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,9,0,21,7,0,0,0,0
270010030,CLARK TWP.,,08,03B,04,00,004,00,00,N,O,Clark township,09,030,0030,01,270010030,105,6,82,0,0,82,3,Hand Count,Not Applicable,0,2,24,0,56,0,0,0,0,14,68,0,0,0,0,28,53,0,0,0,0,0,20,59,0,0,0,0,19,18,45,0,0,0,0,2,4,22,54,0,4,14,61,0,4,7,22,47,0,37,25,0,54,0,56,0,56,0,55,0,57,0,55,0,18,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,38,0,41,18,0,0,0,0
270010035,CORNISH TWP.,,08,03B,05,00,002,00,00,N,O,Cornish township,09,035,0035,01,270010035,27,1,0,16,0,16,3,Hand Count,Not Applicable,1,4,5,3,3,0,0,0,0,2,13,0,0,0,0,5,9,0,0,0,0,0,9,6,0,0,0,0,3,6,7,0,0,0,0,2,3,6,5,0,4,3,9,0,1,3,5,7,0,2,6,0,6,0,6,0,6,0,6,0,6,0,6,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,4,6,0,0,0,0
270010038,Unorg. 47-24 Davidson,,08,03B,03,00,001,00,00,N,O,Davidson Unorganized,09,038,0038,01,270010038,22,0,21,0,0,21,3,Hand Count,Not Applicable,0,1,9,2,5,0,3,0,0,5,16,0,0,0,0,11,10,0,0,0,0,0,8,13,0,0,0,0,7,5,9,0,0,0,0,0,1,11,9,0,0,6,15,0,0,3,6,12,0,9,10,0,17,0,17,0,17,0,17,0,17,0,17,0,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,0,11,6,0,0,0,0
